problem,status,time_s,sims,proof_tree_bytes,black_crucial,white_crucial
vol1_p031,UCT_WIN,0.7,1473,429417,or,
vol1_p037,UCT_WIN,4.5,22354,6352865,nr rr qq sq,
vol1_p040,UCT_WIN,1.2,4961,1422733,nr qr pp,
vol1_p042,UCT_WIN,0.3,273,79472,or,
vol1_p046_1,UCT_WIN,1.5,6330,1791565,pr,
vol1_p057,UCT_WIN,0.8,3329,982315,pr rq,
vol1_p060,UCT_WIN,1.3,5682,1634819,pr rq,
vol1_p068_1,UCT_WIN,0.8,3601,1094261,rp,
vol1_p074_1,UCT_WIN,0.6,1937,579698,or,
vol1_p080_1,UCT_WIN,0.7,2401,706051,rp,
vol1_p084_1,UCT_WIN,0.8,3169,925824,os pq rq,
vol1_p088,UCT_WIN,0.5,1441,424954,pr,
vol1_p090,UCT_WIN,0.8,3025,871543,pq,
vol1_p098,UCT_WIN,0.5,1217,375583,pr rq,
vol1_p101,UCT_WIN,1.0,4049,1151689,or rp,
vol1_p104,UCT_WIN,0.8,2834,895918,or qq,
vol1_p132,UCT_WIN,0.5,1374,377879,ps or pq sp,
vol1_p135,UCT_WIN,4.1,21314,6106877,ps or pq,
vol1_p139,UCT_WIN,1.8,8445,2398392,or qq,
vol1_p150,UCT_WIN,4.7,23608,6598319,os nr oq,
vol1_p152,UCT_WIN,1.5,6993,1986389,ns or qq,
vol1_p156,UCT_WIN,0.5,1409,439259,ns rr oq,
vol1_p174,UCT_WIN,1.4,6773,2023167,nr sr,
vol1_p176,UCT_WIN,0.8,3121,953639,nr sr pq,
vol1_p186,UCT_WIN,4.3,21317,6141474,rr pq sq,
vol1_p189,UCT_WIN,7.3,37669,10775727,or rr sq,
vol1_p195,UCT_WIN,3.8,19210,5444015,mr qr oq,
vol1_p196,UCT_WIN,0.5,1346,389593,mr qr,
vol1_p197,UCT_WIN,0.9,3777,1088091,mr qr oq,
vol1_p198,UCT_WIN,1.7,8193,2356712,rs lr pr nq,
vol1_p222,UCT_WIN,1.1,4833,1423688,pr qo,
vol1_p243_1,UCT_WIN,1.9,9393,2724376,jr,
vol1_p244,UCT_WIN,3.7,19288,5539251,jr,
vol1_p252,UCT_WIN,0.4,1041,305881,jr nr mq,
vol1_p258,UCT_WIN,0.4,865,259382,lr nq,
vol1_p262,UCT_WIN,0.4,1041,314280,kr,
vol1_p264,UCT_WIN,0.8,3633,1121418,kr or mq,
vol1_p268,UCT_WIN,1.4,6561,1872945,lr nq,
vol1_p269,UCT_WIN,1.9,9154,2603226,kr nr lq,
vol1_p270,UCT_WIN,8.1,40113,11372366,jr mr kq,
vol1_p272,UCT_WIN,0.3,262,83705,ls,
vol1_p279,UCT_WIN,0.3,401,122384,ls pr mq,
vol1_p288,UCT_WIN,2.6,13233,3762901,lr nq qq,
vol1_p298,UCT_WIN,1.3,6376,1813161,kr,
vol1_p299,UCT_WIN,1.3,6225,1847625,ks pr lq,
vol1_p300,UCT_WIN,0.6,1873,556186,ls kr pr lq,
vol1_p301,UCT_WIN,0.6,1969,603238,ls os kr pr lq,
vol1_p302,UCT_WIN,3.6,18083,5372094,lr qr mq,
vol1_p318,UCT_WIN,6.4,33761,9626200,mr qq np,
vol1_p323,UCT_WIN,0.4,673,206765,lr nq pq,
vol1_p324,UCT_WIN,1.1,4497,1279193,lr mq pq,
vol2_p120,UCT_WIN,0.7,2689,775744,or pq sp,
vol2_p124,UCT_WIN,1.0,3985,1145834,,pp
vol2_p125,UCT_WIN,4.8,23122,6558341,,jq nq kp
vol2_p126,UCT_WIN,2.6,13041,3822946,,oq rq qp
vol2_p127,UCT_WIN,0.8,3105,899355,,os nr qq
vol2_p128,UCT_WIN,0.8,3393,964065,,no
vol2_p129,UCT_WIN,4.2,21569,6140970,rr op qo,
vol2_p132,UCT_WIN,11.2,57361,16475440,,mr sq
vol2_p133,UCT_WIN,0.8,2929,840437,lr nq,
vol2_p138,UCT_WIN,17.3,91857,26348089,,lq po ln
vol2_p139,UCT_WIN,16.3,88257,25077756,,rs
vol2_p140,UCT_WIN,4.0,21301,6089784,,rq sp rn
vol2_p141,UCT_WIN,2.1,10753,3010592,nr qo,
vol2_p142,UCT_WIN,1.5,7265,2201992,ps ir nr,
vol2_p144,UCT_WIN,12.6,65745,18805812,,qr rq lp
vol2_p146,UCT_WIN,10.6,56530,15919163,,jr or nq
vol2_p147,UCT_WIN,4.9,25233,7188689,,lr oq no
vol2_p148,UCT_WIN,27.3,134449,38085409,,mr or
vol2_p152,UCT_WIN,5.1,25473,7355712,,mq qp
vol2_p156,UCT_WIN,1.5,7281,2100338,,mr jq oq lo mn
vol2_p158,UCT_WIN,2.5,12561,3561686,rr np,
vol2_p162,UCT_WIN,0.4,913,284998,qr rp,
vol2_p164,UCT_WIN,42.3,206001,58790988,,mr or ko mn
vol2_p166,UCT_WIN,2.1,9797,2859145,nq so,
vol2_p245,UCT_WIN,8.0,40417,11434302,,kr lq oq np
vol2_p246,UCT_WIN,2.4,12404,3670778,pr lq np,
vol2_p248,UCT_WIN,53.4,279169,78879644,pr mq qp so qn rm,
vol2_p250,UCT_WIN,4.8,23009,6570488,,rr rp
vol2_p251,UCT_WIN,12.8,65359,18215086,pr qp,
vol2_p252,UCT_WIN,0.7,2137,684581,,qs nr oq
vol2_p253,UCT_WIN,1.7,7537,2136993,,mq
vol2_p254,UCT_WIN,42.0,210497,59821792,,mp mn om
vol2_p257,UCT_WIN,2.9,13969,4023868,,ps oq pp
vol2_p260,UCT_WIN,13.9,68417,19574554,,pr qq
vol2_p262,UCT_WIN,120.8,583953,165950238,,oq jp np mo rm
vol2_p274,UCT_WIN,38.4,188593,53777404,,np qp mo oo rl
vol2_p326,UCT_WIN,3.3,15555,4496949,,rr qp
vol2_p327,UCT_WIN,6.0,31082,8744348,,qr
vol2_p328,UCT_WIN,1.3,5713,1671625,,or qq
vol2_p329,UCT_WIN,0.4,1170,357194,,ns rp
vol2_p330,UCT_WIN,1.2,5163,1474251,,ps or rr qq
vol2_p331,UCT_WIN,7.3,37281,10573229,pr rr qq sq,
vol2_p332,UCT_WIN,0.5,1409,405083,,mr or np
vol2_p333,UCT_WIN,1.1,5041,1467899,lq pq np,
vol2_p334,UCT_WIN,0.8,3041,878865,,rr pq
vol2_p336,UCT_WIN,0.5,1585,460040,ns or qr pq rq,
vol2_p337,UCT_WIN,0.6,2161,638210,,kr or mq
vol2_p338,UCT_WIN,6.9,36465,10364076,lr qq oo,
vol2_p340,UCT_WIN,0.7,2737,782406,,pr sr nq qq
vol2_p341,UCT_WIN,2.0,10273,2957024,qr op qo,
vol2_p342,UCT_WIN,0.6,2193,645841,,rr mq qq
vol2_p343,UCT_WIN,1.8,8169,2397950,,os rq
vol2_p344,UCT_WIN,1.4,6145,1851581,kr or mq,
vol2_p345,UCT_WIN,4.2,20455,5808660,,or rr qq
vol2_p351,UCT_WIN,1.3,6129,1807412,,or mq
vol2_p352,UCT_WIN,0.7,2545,765201,os pr rq,
vol2_p353,UCT_WIN,3.8,17521,5058900,,qp
vol2_p355,UCT_WIN,4.0,19617,5632442,,lr or mq op
vol2_p357,UCT_WIN,4.2,20305,5843668,,qr pq
vol2_p359,UCT_WIN,28.1,143777,41406537,kr qq lp,
vol2_p363,UCT_WIN,7.5,37569,10770182,ps mq oq np qp,
vol2_p364,UCT_WIN,2.4,11041,3127152,nr pq,
vol2_p366,UCT_WIN,3.7,19665,5600928,mr qr,
vol2_p368_1,UCT_WIN,0.4,1090,324651,,lr or
vol2_p372,UCT_WIN,15.8,83041,23457778,mr pr lq qq,
vol2_p376,UCT_WIN,48.3,249268,71072120,,ir
